rank,artist,title,youtube_views,youtube_url,youtube_upload_date,youtube_video_title,original_release_year
1,Sinead O'Connor,NOTHING COMPARES 2 U,546541603,https://www.youtube.com/watch?v=0-EF60neguk,,Sinéad O'Connor - Nothing Compares 2 U (Official Music Video) [HD],1990
2,Prince,PURPLE RAIN,270543261,https://www.youtube.com/watch?v=TvnYmWpD_T8,,Prince - Purple Rain (Official Video),1984
3,Dire Straits,BROTHERS IN ARMS,218016668,https://www.youtube.com/watch?v=jhdFe3evXpk,,Dire Straits - Brothers In Arms (Official Music Video),1985
4,Queen,BOHEMIAN RHAPSODY,2011902732,https://www.youtube.com/watch?v=fJ9rUzIMcZQ,,Queen – Bohemian Rhapsody (Official Video Remastered),1975
5,The Doors,RIDERS ON THE STORM,128821988,https://www.youtube.com/watch?v=iv8GW1GaoIc,,The Doors - Riders On The Storm,1971
6,Bruce Springsteen,STREETS OF PHILADELPHIA,229079003,https://www.youtube.com/watch?v=4z2DtNW79sQ,,Bruce Springsteen - Streets of Philadelphia (Official Video),1994
7,Archive,AGAIN,14501503,https://www.youtube.com/watch?v=r7rF2EZ0A_0,,Archive - Again,2002
8,Peter Gabriel & Kate Bush,DON'T GIVE UP,64046892,https://www.youtube.com/watch?v=VjEq-r2agqc,,Peter Gabriel - Don't Give Up (ft. Kate Bush),1986
9,Led Zeppelin,STAIRWAY TO HEAVEN,208574303,https://www.youtube.com/watch?v=2cZ_EFAmj08,,Heart - Stairway to Heaven Led Zeppelin - Kennedy Center Honors HD,1971
10,Eagles,HOTEL CALIFORNIA,770766210,https://www.youtube.com/watch?v=09839DpTctU,,Eagles - Hotel California (Live 1977) (Official Video) [HD],1977
11,The Animals,HOUSE OF THE RISING SUN,198153644,https://www.youtube.com/watch?v=N4bFqW_eu2I,,The Animals - House Of The Rising Sun (Music Video) [4K HD],1964
12,John Lennon,IMAGINE,336217610,https://www.youtube.com/watch?v=YkgkThdzX-8,,"IMAGINE. (Ultimate Mix, 2020) - John Lennon & The Plastic Ono Band (with the Flux Fiddlers) HD",1971
13,Deep Purple,CHILD IN TIME,199479813,https://www.youtube.com/watch?v=OorZcOzNcgE,,Deep Purple - Child In Time - Live (1970),1970
14,Alphaville,FOREVER YOUNG,84358947,https://www.youtube.com/watch?v=YHRvDo8rUoQ,,Alphaville - Forever Young (Official Video HD),1984
15,Louis Armstrong,WHAT A WONDERFUL WORLD,68443538,https://www.youtube.com/watch?v=VqhCQZaH4Vs,,Louis Armstrong - What A Wonderful World,1967
16,Guns N' Roses,NOVEMBER RAIN,2383907335,https://www.youtube.com/watch?v=8SbUC-UaAxE,,Guns N' Roses - November Rain,1992
17,The Police,EVERY BREATH YOU TAKE,1574149002,https://www.youtube.com/watch?v=OMOGaugKpzs,,The Police - Every Breath You Take (Official Music Video),1983
18,Pink Floyd,WISH YOU WERE HERE,136651029,https://www.youtube.com/watch?v=84Tq-eAJIk4,,Pink Floyd - Wish You Were Here (PULSE Restored & Re-Edited),1975
19,Marillion,KAYLEIGH,3516574,https://www.youtube.com/watch?v=0SUuEwhQ4ec,,MARILLION - Intro + Kayleigh + Lavender,1985
20,Kate Bush,RUNNING UP THAT HILL,369500830,https://www.youtube.com/watch?v=wp43OdtAAkM,,Kate Bush - Running Up That Hill - Official Music Video,1985
21,The Cranberries,ZOMBIE,1776583302,https://www.youtube.com/watch?v=6Ejga4kJUts,,The Cranberries - Zombie (Official Music Video),1994
22,Phil Collins,IN THE AIR TONIGHT,326592121,https://www.youtube.com/watch?v=YkADj0TPrJA,,Phil Collins - In The Air Tonight (Official Music Video),1981
23,Metallica,NOTHING ELSE MATTERS,1581929596,https://www.youtube.com/watch?v=tAGnKpE4NCI,,Metallica: Nothing Else Matters (Official Music Video),1992
24,Barbra Streisand,WOMAN IN LOVE,40595306,https://www.youtube.com/watch?v=hQLGCX8D-1Y,,Barbra Streisand - Woman in Love (Official Audio),1980
25,Nirvana,SMELLS LIKE TEEN SPIRIT,2109682712,https://www.youtube.com/watch?v=hTWKbfoikeg,,Nirvana - Smells Like Teen Spirit (Official Music Video),1991
26,Frank Sinatra,MY WAY,300512642,https://www.youtube.com/watch?v=qQzdAsjWGPg,,My Way (2008 Remastered),1969
27,Depeche Mode,ENJOY THE SILENCE,516584128,https://www.youtube.com/watch?v=aGSKrC7dGcY,,Depeche Mode - Enjoy the Silence,1990
28,Radiohead,CREEP,1351893267,https://www.youtube.com/watch?v=XFkzRNyygfk,,Radiohead - Creep,1992
29,Red Hot Chili Peppers,CALIFORNICATION,1326660828,https://www.youtube.com/watch?v=YlUKcNNmywk,,Red Hot Chili Peppers - Californication (Official Music Video) [HD UPGRADE],1999
30,George Michael,CARELESS WHISPER,1504209813,https://www.youtube.com/watch?v=izGwDsrQ1eQ,,George Michael - Careless Whisper (Official Video),1984
31,U2,ONE,257179805,https://www.youtube.com/watch?v=ZpDQJnI4OhU,,"Mary J. Blige, U2 - One (Official Music Video)",1992
32,Simon And Garfunkel,THE SOUND OF SILENCE,182118247,https://www.youtube.com/watch?v=NAEppFUWLfc,,Simon & Garfunkel - The Sound of Silence (from The Concert in Central Park),1965
33,Black Sabbath,PARANOID,367312626,https://www.youtube.com/watch?v=0qanF-91aJo,,"BLACK SABBATH - ""Paranoid"" (Official Video)",1970
34,Omega,GYÖNGYHAJÚ LÁNY (DZIEWCZYNA O PERŁOWYCH WŁOSACH),15269083,https://www.youtube.com/watch?v=SNLsmh_otYs,,"Omega - The Girl With The Pearl's Hair (org. ""Gyöngyhajú lány"")",1969
35,Sting,SHAPE OF MY HEART,397592679,https://www.youtube.com/watch?v=QK-Z1K67uaA,,Sting - Shape of My Heart (Leon),1993
36,AC/DC,THUNDERSTRUCK,1664159918,https://www.youtube.com/watch?v=v2AC41dglnM,,AC/DC - Thunderstruck (Official Video),1990
37,ABC,THE LOOK OF LOVE,30451412,https://www.youtube.com/watch?v=cNEdxZURTaI,,ABC - The Look Of Love,1982
38,Led Zeppelin,KASHMIR,192327216,https://www.youtube.com/watch?v=PD-MdiUm1_Y,,Led Zeppelin - Kashmir (Live from Celebration Day) [Official Video],1975
39,The Beatles,YESTERDAY,103164259,https://www.youtube.com/watch?v=wXTJBr9tt8Q,,"The Beatles - Yesterday (Live With Spoken Word Intro, New York) [Remastered 2015]",1965
40,Amy Winehouse,BACK TO BLACK,1382234069,https://www.youtube.com/watch?v=TJAfLE39ZZ8,,Amy Winehouse - Back To Black,2006
41,Genesis,MAMA,35552351,https://www.youtube.com/watch?v=Ccs2rt0oSzQ,,Genesis - Mama (Official Music Video),1983
42,a-ha,TAKE ON ME,2320275110,https://www.youtube.com/watch?v=djV11Xbc914,,a-ha - Take On Me (Official Video) [4K],1985
43,Sting,ENGLISHMAN IN NEW YORK,350526112,https://www.youtube.com/watch?v=d27gTrPPAyk,,Sting - Englishman In New York,1988
44,AC/DC,HIGHWAY TO HELL,681858667,https://www.youtube.com/watch?v=gEPmA3USJdI,,"AC/DC - Highway to Hell (Live At River Plate, December 2009)",1979
45,R.E.M.,LOSING MY RELIGION,1401108049,https://www.youtube.com/watch?v=xwtdhWltSIg,,R.E.M. - Losing My Religion (Official HD Music Video),1991
46,Eric Clapton,TEARS IN HEAVEN,123364412,https://www.youtube.com/watch?v=JxPj3GAYYZ0,,Eric Clapton - Tears In Heaven (Official Video),1992
47,Pink Floyd,HIGH HOPES,136181892,https://www.youtube.com/watch?v=7jMlFXouPk8,,Pink Floyd - High Hopes (Official Music Video HD),1994
48,Phil Collins,ANOTHER DAY IN PARADISE,646462832,https://www.youtube.com/watch?v=Qt2mbGP6vFI,,Phil Collins - Another Day In Paradise (Official Music Video),1989
49,David Bowie & Pat Metheny,THIS IS NOT AMERICA,6807314,https://www.youtube.com/watch?v=bYkPtYw82f8,,This Is Not America (2002 Remaster),1985
50,Tina Turner & David Bowie,TONIGHT (LIVE),33205190,https://www.youtube.com/watch?v=p4WG_y7owmM,,Tina Turner - Tonight (with David Bowie) [Live],1979
51,Monty Python,ALWAYS LOOK ON THE BRIGHT SIDE OF LIFE,16331192,https://www.youtube.com/watch?v=jHPOzQzk9Qo,,Monty Python - Always Look on the Bright Side of Life,1979
52,Chris Isaak,WICKED GAME,167786219,https://www.youtube.com/watch?v=ozv8ugNm0P0,,Chris Isaak - Wicked Game (Live),1989
53,Europe,THE FINAL COUNTDOWN,1380678588,https://www.youtube.com/watch?v=9jK-NcRmVcw,,Europe - The Final Countdown (Official Video),1986
54,Dire Straits,SULTANS OF SWING,514396470,https://www.youtube.com/watch?v=h0ffIJ7ZO4U,,Dire Straits - Sultans Of Swing (Official Music Video),1978
55,Bee Gees,STAYIN' ALIVE,468704974,https://www.youtube.com/watch?v=fNFzfwLM72c,,Bee Gees - Stayin' Alive (Official Music Video),1977
56,Gotye feat. Kimbra,SOMEBODY THAT I USED TO KNOW,2586247808,https://www.youtube.com/watch?v=8UVNT4wvIGY,,Gotye - Somebody That I Used To Know (feat. Kimbra) [Official Music Video],2011
57,Iggy Pop,THE PASSENGER,106676590,https://www.youtube.com/watch?v=-fWw7FE9tTo,,Iggy Pop - The Passenger (Official Video),1977
58,Bob Marley,"NO WOMAN, NO CRY",103600071,https://www.youtube.com/watch?v=mZ6VezKMoRY,,"Bob Marley & The Wailers - No Woman, No Cry (Live At The Rainbow 4th June 1977)",1975
59,Eurythmics,SWEET DREAMS (ARE MADE OF THIS),1125082111,https://www.youtube.com/watch?v=qeMFqkcPYcg,,"Eurythmics, Annie Lennox, Dave Stewart - Sweet Dreams (Are Made Of This) (Official Video)",1983
60,King Crimson,EPITAPH,11869342,https://www.youtube.com/watch?v=vXrpFxHfppI,,"King Crimson - Epitaph (Including ""March For No Reason"" and ""Tomorrow And Tomorrow"")",1969
61,Black,WONDERFUL LIFE,180055550,https://www.youtube.com/watch?v=u1ZoHfJZACA,,Black - Wonderful Life,1986
62,Nirvana,COME AS YOU ARE,669177654,https://www.youtube.com/watch?v=vabnZ9-ex7o,,Nirvana - Come As You Are (Official Music Video),1992
63,Pink Floyd,COMFORTABLY NUMB,291504605,https://www.youtube.com/watch?v=_FrOQC-zEog,,Pink Floyd - Comfortably numb,1979
64,The Police,ROXANNE,180152549,https://www.youtube.com/watch?v=3T1c7GkzRQQ,,The Police - Roxanne (Official Music Video),1978
65,Berlin,TAKE MY BREATH AWAY,597112296,https://www.youtube.com/watch?v=Bx51eegLTY8,,Berlin - Take My Breath Away (Official Video - Top Gun),1986
66,Queen & David Bowie,UNDER PRESSURE,260448826,https://www.youtube.com/watch?v=a01QQZyl-_I,,Queen and David Bowie - Under Pressure (Official Video),1981
67,Sting,FRAGILE,148662076,https://www.youtube.com/watch?v=lB6a-iD6ZOY,,Sting - Fragile,1987
68,U2,WITH OR WITHOUT YOU,390204147,https://www.youtube.com/watch?v=6DeDzsCGbsQ,,U2 - With Or Without You (U2 At The BBC),1987
69,Pink Floyd,ANOTHER BRICK IN THE WALL PART II,130031234,https://www.youtube.com/watch?v=W0bi7OfaKMY,,"Pink Floyd - ""Another Brick in The Wall  "" PULSE Remastered 2019",1979
70,Bobby McFerrin,"DON'T WORRY, BE HAPPY",448758023,https://www.youtube.com/watch?v=d-diB65scQU,,Bobby McFerrin - Don't Worry Be Happy (Official Music Video),1988
71,Tina Turner,PRIVATE DANCER,47520362,https://www.youtube.com/watch?v=d4QnalIHlVc,,Tina Turner - Private Dancer (Official Music Video) [4K Upgrade],1984
72,Toto,AFRICA,1209498777,https://www.youtube.com/watch?v=FTQbiNvZqaY,,Toto - Africa (Official HD Video),1982
73,The Rolling Stones,ANGIE,81934037,https://www.youtube.com/watch?v=RcZn2-bGXqQ,,The Rolling Stones - Angie - OFFICIAL PROMO (Version 1),1973
74,Bronski Beat,SMALLTOWN BOY,177689328,https://www.youtube.com/watch?v=88sARuFu-tc,,Bronski Beat - Smalltown Boy (Official Video),1984
75,ABBA,DANCING QUEEN,1056986595,https://www.youtube.com/watch?v=xFrGuyw1V8s,,ABBA - Dancing Queen (Official Music Video),1976
76,David Bowie,LET'S DANCE,79736866,https://www.youtube.com/watch?v=VbD_kBJc_gI,,David Bowie - Let's Dance (Official Video) [HD],1983
77,Dire Straits,MONEY FOR NOTHING,151759307,https://www.youtube.com/watch?v=wTP2RUD_cL0,,Dire Straits - Money For Nothing (Official Music Video),1985
78,Sade,SMOOTH OPERATOR,212026375,https://www.youtube.com/watch?v=4TYv2PhG89A,,Sade - Smooth Operator - Official - 1984,1984
79,Foreigner,I WANT TO KNOW WHAT LOVE IS,519305371,https://www.youtube.com/watch?v=r3Pr1_v7hsw,,Foreigner - I Want To Know What Love Is (Official Music Video),1984
80,Adele,SOMEONE LIKE YOU (LIVE),2432548979,https://www.youtube.com/watch?v=hLQl3WQQoQ0,,Adele - Someone Like You (Official Music Video),2011
81,Leonard Cohen,DANCE ME TO THE END OF LOVE,199098281,https://www.youtube.com/watch?v=NGorjBVag0I,,Leonard Cohen - Dance Me to the End of Love (Official Video),1984
82,Eric Clapton,LAYLA (UNPLUGGED),14856333,https://www.youtube.com/watch?v=EOs0qeiJyIg,,Layla (Acoustic Live),1970
83,Frankie Goes To Hollywood,THE POWER OF LOVE,26185847,https://www.youtube.com/watch?v=WtdRv6GT9Zg,,Frankie Goes To Hollywood - The Power Of Love,1984
84,R.E.M.,EVERYBODY HURTS,182477235,https://www.youtube.com/watch?v=5rOiW_xY-kc,,R.E.M. - Everybody Hurts (Official HD Music Video),1993
85,Bob Dylan,KNOCKIN' ON HEAVEN'S DOOR,40772598,https://www.youtube.com/watch?v=rm9coqlk8fY,,Bob Dylan - Knockin' On Heaven's Door (Official Audio),1973
86,Ultravox,DANCING WITH TEARS IN MY EYES,10440957,https://www.youtube.com/watch?v=PSQWUZ8a2Ho,,Ultravox - Dancing With Tears In My Eyes (Official Music Video) [HD Remaster],1984
87,Aerosmith,DREAM ON,200211573,https://www.youtube.com/watch?v=89dGC8de0CA,,Aerosmith - Dream On (Audio),1973
88,INXS,NEVER TEAR US APART,152907997,https://www.youtube.com/watch?v=AIBv2GEnXlc,,INXS - Never Tear Us Apart (Official Music Video),1988
89,ABBA,THE WINNER TAKES IT ALL,210054350,https://www.youtube.com/watch?v=92cwKCU8Z5c,,ABBA - The Winner Takes It All,1980
90,Procol Harum,A WHITER SHADE OF PALE,117599117,https://www.youtube.com/watch?v=St6jyEFe5WM,,"Procol Harum - A Whiter Shade of Pale, live in Denmark 2006",1967
91,Chris de Burgh,THE LADY IN RED,64963427,https://www.youtube.com/watch?v=T9Jcs45GhxU,,Chris De Burgh - Lady In Red (Official Video),1986
92,Nick Cave & Kylie Minogue,WHERE THE WILD ROSES GROW,37967742,https://www.youtube.com/watch?v=lDpnjE1LUvE,,Nick Cave & The Bad Seeds ft. Kylie Minogue - Where The Wild Roses Grow (Official HD Video),1995
93,Chuck Mangione,CHILDREN OF SANCHEZ,506839,https://www.youtube.com/watch?v=QakBS7J9O2E,,Chuck Mangione - Children Of Sanchez,1978
94,Alanis Morissette,IRONIC,295274915,https://www.youtube.com/watch?v=Jne9t8sHpUc,,Alanis Morissette - Ironic (Official 4K Music Video),1996
95,Patrick Swayze,SHE'S LIKE THE WIND,288123791,https://www.youtube.com/watch?v=lU9p1WRfA9w,,Patrick Swayze - She's Like The Wind (Official HD Video) ft. Wendy Fraser,1987
96,Scorpions,WIND OF CHANGE,1192539403,https://www.youtube.com/watch?v=n4RjJKxsamQ,,Scorpions - Wind Of Change (Official Music Video),1991
97,David Bowie,SPACE ODDITY,146090906,https://www.youtube.com/watch?v=iYYRH4apXDo,,David Bowie - Space Oddity (Official Video),1969
98,Red Hot Chili Peppers,UNDER THE BRIDGE,335664824,https://www.youtube.com/watch?v=GLvohMXgcBo,,Red Hot Chili Peppers - Under The Bridge [Official Music Video],1992
99,Depeche Mode,PERSONAL JESUS,210985180,https://www.youtube.com/watch?v=u1xrNaTO1bI,,Depeche Mode - Personal Jesus,1989
100,Whitney Houston,I WILL ALWAYS LOVE YOU,1847524666,https://www.youtube.com/watch?v=3JWTaaS7LdU,,Whitney Houston - I Will Always Love You (Official 4K Video),1992
101,Queen,THE SHOW MUST GO ON,278491048,https://www.youtube.com/watch?v=t99KH0TR-J4,,Queen - The Show Must Go On (Official Video),1991
102,The Cars,DRIVE,262912756,https://www.youtube.com/watch?v=xuZA6qiJVfU,,The Cars - Drive (Official Music Video),1984
103,Nick Cave & The Bad Seeds,INTO MY ARMS,35247948,https://www.youtube.com/watch?v=LnHoqHscTKE,,Nick Cave & The Bad Seeds - Into My Arms (4K Official Video),1997
104,Joy Division,LOVE WILL TEAR US APART,91859542,https://www.youtube.com/watch?v=zuuObGsB0No,,Joy Division - Love Will Tear Us Apart [OFFICIAL MUSIC VIDEO],1980
105,Michael Jackson,BILLIE JEAN,2001900311,https://www.youtube.com/watch?v=Zi_XLOBDo_Y,,Michael Jackson - Billie Jean (Official Video),1983
106,Katie Melua,NINE MILLION BICYCLES,5703414,https://www.youtube.com/watch?v=rrPUJsZQSkw,,Katie Melua - Nine Million Bicycles (Official Video) (4K Remaster),2005
107,Jean Michel Jarre,OXYGENE 4,16748927,https://www.youtube.com/watch?v=kSIMVnPA994,,"Jean-Michel Jarre - Oxygene, Pt. 4",1976
108,Madonna,FROZEN,286756455,https://www.youtube.com/watch?v=XS088Opj9o0,,Madonna - Frozen (Official Video) [HD],1998
109,Leonard Cohen,HALLELUJAH,269413328,https://www.youtube.com/watch?v=YrLk4vdY28Q,,Leonard Cohen - Hallelujah (Official Live in London 2008),1984
110,Suzanne Vega,LUKA,91411066,https://www.youtube.com/watch?v=VZt7J0iaUD0,,Suzanne Vega - Luka,1987
111,Queen,INNUENDO,74040756,https://www.youtube.com/watch?v=g2N0TkfrQhY,,Queen - Innuendo (Official Video),1991
112,The Cure,LULLABY,96800144,https://www.youtube.com/watch?v=ijxk-fgcg7c,,The Cure - Lullaby,1989
113,Adele,SKYFALL,783209232,https://www.youtube.com/watch?v=DeumyOzKqgI,,Adele - Skyfall (Official Lyric Video),2012
114,Phil Collins,AGAINST ALL ODDS (TAKE A LOOK AT ME NOW),70436581,https://www.youtube.com/watch?v=wuvtoyVi7vY,,Phil Collins - Against All Odds (Take A Look At Me Now) (Official Music Video),1984
115,Ennio Morricone,CHI MAI,12905302,https://www.youtube.com/watch?v=_i5UdZuNmmY,,Ennio Morricone - Chi Mai,1971
116,Mike Oldfield,TUBULAR BELLS,23277111,https://www.youtube.com/watch?v=sSRJvq4Wd48,,Mike Oldfield - Tubular bells,1973
117,Deep Purple,PERFECT STRANGERS,149207387,https://www.youtube.com/watch?v=gZ_kez7WVUU,,Deep Purple - Perfect Strangers (Official Music Video),1984
